date,amount,index
2011/1/24,99170,1120
2011/1/25,99883,1121
2011/1/26,100319,1122
2011/1/27,100422,1123
2011/1/28,101968,1124
2011/1/29,93154,1125
2011/1/30,90520,1126
2011/1/31,102596,1127
2011/2/1,100420,1128
2011/2/2,101161,1129
2011/2/3,97555,1130
2011/2/4,95094,1131
2011/2/5,87196,1132
2011/2/6,83256,1133
2011/2/7,92126,1134
2011/2/8,98550,1135
2011/2/9,99729,1136
2011/2/10,97793,1137
2011/2/11,101245,1138
2011/2/12,98561,1139
2011/2/13,87743,1140
2011/2/14,103013,1141
2011/2/15,101274,1142
2011/2/16,98095,1143
2011/2/17,96112,1144
2011/2/18,93131,1145
2011/2/19,89095,1146
2011/2/20,84613,1147
2011/2/21,93543,1148
2011/2/22,95132,1149
